Season,GameNumber,GameDate,VTeamCode,HTeamCode
2010,20582,2011-01-03,FLA,CAR
2010,20583,2011-01-03,NYI,CGY
2010,20584,2011-01-03,CHI,LA
2010,20585,2011-01-03,VAN,SJ
2010,20586,2011-01-04,MIN,NJ
2010,20587,2011-01-04,TB,WSH
2010,20588,2011-01-04,BUF,COL
2010,20589,2011-01-04,DET,EDM
2010,20590,2011-01-04,CBJ,PHX
2010,20591,2011-01-05,CAR,NYR
2010,20592,2011-01-05,TB,PIT
2010,20593,2011-01-05,ATL,FLA
2010,20594,2011-01-05,DAL,CHI
2010,20595,2011-01-05,CGY,VAN
2010,20596,2011-01-05,NSH,ANA
2010,20597,2011-01-06,MIN,BOS
2010,20598,2011-01-06,STL,TOR
2010,20599,2011-01-06,PHI,NJ
2010,20600,2011-01-06,PIT,MTL
2010,20601,2011-01-06,PHX,COL
2010,20602,2011-01-06,NYI,EDM
2010,20603,2011-01-06,NSH,LA
2010,20604,2011-01-06,BUF,SJ
2010,20605,2011-01-07,TOR,ATL
2010,20606,2011-01-07,CAR,FLA
2010,20607,2011-01-07,OTT,CHI
2010,20608,2011-01-07,NYR,DAL
2010,20609,2011-01-07,DET,CGY
2010,20610,2011-01-07,EDM,VAN
2010,20611,2011-01-07,CBJ,ANA
2010,20612,2011-01-08,NJ,PHI
2010,20613,2011-01-08,NYI,COL
2010,20614,2011-01-08,BOS,MTL
2010,20615,2011-01-08,TB,OTT
2010,20616,2011-01-08,MIN,PIT
2010,20617,2011-01-08,FLA,WSH
2010,20618,2011-01-08,NYR,STL
2010,20619,2011-01-08,BUF,PHX
2010,20620,2011-01-08,NSH,SJ
2010,20621,2011-01-08,DET,VAN
2010,20622,2011-01-08,CBJ,LA
2010,20623,2011-01-09,ATL,CAR
2010,20624,2011-01-09,TB,NJ
2010,20625,2011-01-09,DAL,MIN
2010,20626,2011-01-09,NYI,CHI
2010,20627,2011-01-09,SJ,ANA
2010,20628,2011-01-10,BOS,PIT
2010,20629,2011-01-10,PHX,STL
2010,20630,2011-01-10,DET,COL
2010,20631,2011-01-10,TOR,LA
2010,20632,2011-01-11,OTT,BOS
2010,20633,2011-01-11,PHI,BUF
2010,20634,2011-01-11,VAN,NYI
2010,20635,2011-01-11,MTL,NYR
2010,20636,2011-01-11,CGY,CAR
2010,20637,2011-01-11,PHX,CBJ
2010,20638,2011-01-11,WSH,FLA
2010,20639,2011-01-11,MIN,NSH
2010,20640,2011-01-11,EDM,DAL
2010,20641,2011-01-11,TOR,SJ
2010,20642,2011-01-12,PIT,MTL
2010,20643,2011-01-12,WSH,TB
2010,20644,2011-01-12,COL,CHI
2010,20645,2011-01-12,STL,ANA
2010,20646,2011-01-13,PHI,BOS
2010,20647,2011-01-13,CAR,BUF
2010,20648,2011-01-13,OTT,NYI
2010,20649,2011-01-13,VAN,NYR
2010,20650,2011-01-13,NSH,FLA
2010,20651,2011-01-13,TOR,PHX
2010,20652,2011-01-13,STL,LA
2010,20653,2011-01-13,EDM,SJ
2010,20654,2011-01-14,VAN,WSH
2010,20655,2011-01-14,DET,CBJ
2010,20656,2011-01-14,CGY,OTT
2010,20657,2011-01-14,PHI,ATL
2010,20658,2011-01-14,NJ,TB
2010,20659,2011-01-14,COL,MIN
2010,20660,2011-01-15,PIT,BOS
2010,20661,2011-01-15,CGY,TOR
2010,20662,2011-01-15,NYR,MTL
2010,20663,2011-01-15,BUF,NYI
2010,20664,2011-01-15,TB,CAR
2010,20665,2011-01-15,NJ,FLA
2010,20666,2011-01-15,CBJ,DET
2010,20667,2011-01-15,CHI,NSH
2010,20668,2011-01-15,ATL,DAL
2010,20669,2011-01-15,ANA,PHX
2010,20670,2011-01-15,EDM,LA
2010,20671,2011-01-15,STL,SJ
2010,20672,2011-01-16,OTT,WSH
2010,20673,2011-01-16,VAN,MIN
2010,20674,2011-01-16,PHI,NYR
2010,20675,2011-01-16,NSH,CHI
2010,20676,2011-01-16,EDM,ANA
2010,20677,2011-01-17,CAR,BOS
