,Season,GameNumber,TeamCode,RosterCount,D1,D2,F1,F2
485,2010,20305,PIT,18.0,3.0,3.0,5.0,7.0
486,2010,20306,EDM,18.0,1.0,5.0,0.0,12.0
487,2010,20306,PHX,18.0,1.0,5.0,4.0,8.0
488,2010,20307,BUF,18.0,2.0,4.0,3.0,9.0
489,2010,20307,PIT,18.0,3.0,3.0,5.0,7.0
490,2010,20308,CBJ,18.0,0.0,6.0,2.0,10.0
491,2010,20308,NYI,18.0,0.0,6.0,1.0,11.0
492,2010,20309,CAR,18.0,1.0,5.0,3.0,9.0
493,2010,20309,WSH,18.0,2.0,4.0,4.0,8.0
494,2010,20312,DAL,18.0,1.0,5.0,3.0,9.0
495,2010,20312,OTT,18.0,0.0,6.0,1.0,11.0
496,2010,20313,CGY,18.0,1.0,5.0,3.0,9.0
497,2010,20313,NJ,18.0,0.0,6.0,2.0,10.0
498,2010,20314,NYR,18.0,2.0,4.0,4.0,8.0
499,2010,20314,TB,18.0,0.0,6.0,2.0,10.0
500,2010,20315,BOS,18.0,3.0,3.0,5.0,7.0
501,2010,20315,FLA,18.0,1.0,5.0,0.0,12.0
502,2010,20317,MIN,18.0,1.0,5.0,2.0,10.0
503,2010,20317,PHI,18.0,3.0,3.0,5.0,7.0
504,2010,20318,COL,18.0,1.0,5.0,2.0,10.0
505,2010,20318,VAN,18.0,3.0,3.0,5.0,7.0
506,2010,20319,CHI,18.0,2.0,4.0,4.0,8.0
507,2010,20319,SJ,18.0,2.0,4.0,6.0,6.0
508,2010,20320,COL,18.0,1.0,5.0,2.0,10.0
509,2010,20320,EDM,18.0,1.0,5.0,0.0,12.0
510,2010,20321,BOS,18.0,3.0,3.0,5.0,7.0
511,2010,20321,CAR,18.0,1.0,5.0,3.0,9.0
512,2010,20322,NJ,18.0,0.0,6.0,2.0,10.0
513,2010,20322,NYI,18.0,0.0,6.0,1.0,11.0
514,2010,20323,CGY,18.0,1.0,5.0,3.0,9.0
515,2010,20323,PHI,18.0,3.0,3.0,5.0,7.0
516,2010,20324,OTT,18.0,1.0,5.0,1.0,11.0
517,2010,20324,PIT,18.0,3.0,3.0,5.0,7.0
518,2010,20325,MIN,18.0,1.0,5.0,2.0,10.0
519,2010,20325,NSH,18.0,2.0,4.0,3.0,9.0
520,2010,20326,ANA,18.0,2.0,4.0,4.0,8.0
521,2010,20326,CHI,18.0,2.0,4.0,4.0,8.0
522,2010,20327,TB,18.0,0.0,6.0,2.0,10.0
523,2010,20327,WSH,18.0,2.0,4.0,5.0,7.0
524,2010,20328,CBJ,18.0,0.0,6.0,2.0,10.0
525,2010,20328,DET,18.0,3.0,3.0,5.0,7.0
526,2010,20329,BUF,18.0,2.0,4.0,3.0,9.0
527,2010,20329,TOR,18.0,1.0,5.0,2.0,10.0
