,Season,GameNumber,EventNumber,Period,AdvantageType,EventTimeFromZero,EventTimeFromTwenty,EventType,EventDetail,TeamCode,VPlayer,VPosition,HPlayer,HPosition,PlayerNumber,PlayerName,ShotType,Zone,Length,ShotResult,ShotTeamCode,ShotPlayerNumber,ShotPlayerName,WinTeamCode,VTeamCode,HTeamCode,HitterTeamCode,HitterPlayerNumber,HitterPlayerName,HitteeTeamCode,HitteePlayerNumber,HitteePlayerName,PenaltyTeamCode,PenaltyPlayerNumber,PenaltyPlayerName,PenaltyType,DrawnByTeamCode,DrawnByPlayerNumber,DrawnByPlayerName,GameDate,GoalNumber,GoalTime,Assist1Player,Assist2Player,TBGoalandEvent,Counts,block,faceoff,giveaway,goal,hit,miss,penalty,shot,takeaway,eventvalue,heventvalue,veventvalue,vp,hp,vgp,hgp,gp,plyr
1449,2010,20001,230.0,3,EV,145,1055.0,SHOT,"MTL ONGOAL - #15 HALPERN, Snap, Off. Zone, 18 ft.",MTL,26.0,RD,8.0,RD,15.0,HALPERN,Snap,O,18.0,,,,,,MTL,TOR,,,,,,,,,,,,,,,5.0,148.0,,,3.0,162,0,0,0,0,0,0,0,1,0,0.2222222222222222,-0.2222222222222222,0.2222222222222222,0.2962962962962963,-0.7407407407407407,1,1,1,-0.7407407407407407
1879,2010,20001,230.0,3,EV,145,1055.0,SHOT,"MTL ONGOAL - #15 HALPERN, Snap, Off. Zone, 18 ft.",MTL,75.0,LD,22.0,LD,15.0,HALPERN,Snap,O,18.0,,,,,,MTL,TOR,,,,,,,,,,,,,,,5.0,148.0,,,3.0,162,0,0,0,0,0,0,0,1,0,0.2222222222222222,-0.2222222222222222,0.2222222222222222,0.2962962962962963,-0.4444444444444444,1,1,1,-0.4444444444444444
2307,2010,20001,230.0,3,EV,145,1055.0,SHOT,"MTL ONGOAL - #15 HALPERN, Snap, Off. Zone, 18 ft.",MTL,31.0,G,35.0,G,15.0,HALPERN,Snap,O,18.0,,,,,,MTL,TOR,,,,,,,,,,,,,,,5.0,148.0,,,3.0,162,0,0,0,0,0,0,0,1,0,0.2222222222222222,-0.2222222222222222,0.2222222222222222,0.2962962962962963,-0.2962962962962963,1,1,1,-0.2962962962962963
160,2010,20001,231.0,3,EV,148,1052.0,SHOT,"MTL ONGOAL - #40 LAPIERRE, Snap, Off. Zone, 16 ft.",MTL,15.0,C,42.0,C,40.0,LAPIERRE,Snap,O,16.0,,,,,,MTL,TOR,,,,,,,,,,,,,,,5.0,148.0,40 M.LAPIERRE(1),57 B.POULIOT(1),0.0,162,0,0,0,0,0,0,0,1,0,0.2222222222222222,-0.2222222222222222,0.2222222222222222,0.2962962962962963,-0.48148148148148145,1,1,1,-0.48148148148148145
590,2010,20001,231.0,3,EV,148,1052.0,SHOT,"MTL ONGOAL - #40 LAPIERRE, Snap, Off. Zone, 16 ft.",MTL,40.0,RW,81.0,RW,40.0,LAPIERRE,Snap,O,16.0,,,,,,MTL,TOR,,,,,,,,,,,,,,,5.0,148.0,40 M.LAPIERRE(1),57 B.POULIOT(1),0.0,162,0,0,0,0,0,0,0,1,0,0.2222222222222222,-0.2222222222222222,0.2222222222222222,0.8518518518518519,-0.25925925925925924,1,1,1,-0.25925925925925924
1020,2010,20001,231.0,3,EV,148,1052.0,SHOT,"MTL ONGOAL - #40 LAPIERRE, Snap, Off. Zone, 16 ft.",MTL,57.0,LW,32.0,LW,40.0,LAPIERRE,Snap,O,16.0,,,,,,MTL,TOR,,,,,,,,,,,,,,,5.0,148.0,40 M.LAPIERRE(1),57 B.POULIOT(1),0.0,162,0,0,0,0,0,0,0,1,0,0.2222222222222222,-0.2222222222222222,0.2222222222222222,0.6296296296296295,-0.8148148148148149,1,1,1,-0.8148148148148149
1450,2010,20001,231.0,3,EV,148,1052.0,SHOT,"MTL ONGOAL - #40 LAPIERRE, Snap, Off. Zone, 16 ft.",MTL,26.0,RD,8.0,RD,40.0,LAPIERRE,Snap,O,16.0,,,,,,MTL,TOR,,,,,,,,,,,,,,,5.0,148.0,40 M.LAPIERRE(1),57 B.POULIOT(1),0.0,162,0,0,0,0,0,0,0,1,0,0.2222222222222222,-0.2222222222222222,0.2222222222222222,0.2962962962962963,-0.7407407407407407,1,1,1,-0.7407407407407407
1880,2010,20001,231.0,3,EV,148,1052.0,SHOT,"MTL ONGOAL - #40 LAPIERRE, Snap, Off. Zone, 16 ft.",MTL,75.0,LD,22.0,LD,40.0,LAPIERRE,Snap,O,16.0,,,,,,MTL,TOR,,,,,,,,,,,,,,,5.0,148.0,40 M.LAPIERRE(1),57 B.POULIOT(1),0.0,162,0,0,0,0,0,0,0,1,0,0.2222222222222222,-0.2222222222222222,0.2222222222222222,0.2962962962962963,-0.4444444444444444,1,1,1,-0.4444444444444444
2308,2010,20001,231.0,3,EV,148,1052.0,SHOT,"MTL ONGOAL - #40 LAPIERRE, Snap, Off. Zone, 16 ft.",MTL,31.0,G,35.0,G,40.0,LAPIERRE,Snap,O,16.0,,,,,,MTL,TOR,,,,,,,,,,,,,,,5.0,148.0,40 M.LAPIERRE(1),57 B.POULIOT(1),0.0,162,0,0,0,0,0,0,0,1,0,0.2222222222222222,-0.2222222222222222,0.2222222222222222,0.2962962962962963,-0.2962962962962963,1,1,1,-0.2962962962962963
161,2010,20001,232.0,3,EV,148,1052.0,GOAL,"MTL #15 HALPERN(1), Snap, Off. Zone, 11 ft.Assists: #40 LAPIERRE(1); #57 POULIOT(1)",MTL,15.0,C,42.0,C,15.0,HALPERN,Snap,O,11.0,,,,,,MTL,TOR,,,,,,,,,,,,,,,5.0,148.0,40 M.LAPIERRE(1),57 B.POULIOT(1),0.0,162,0,0,0,1,0,0,0,0,0,0.25925925925925924,-0.25925925925925924,0.25925925925925924,0.2962962962962963,-0.48148148148148145,1,1,1,-0.48148148148148145
