,Season,GameNumber,EventNumber,Period,AdvantageType,EventTimeFromZero,EventTimeFromTwenty,EventType,EventDetail,VPlayer1,VPosition1,VPlayer2,VPosition2,VPlayer3,VPosition3,VPlayer4,VPosition4,VPlayer5,VPosition5,VPlayer6,VPosition6,HPlayer1,HPosition1,HPlayer2,HPosition2,HPlayer3,HPosition3,HPlayer4,HPosition4,HPlayer5,HPosition5,HPlayer6,HPosition6,TeamCode,PlayerNumber,PlayerName,ShotType,Zone,Length,ShotResult,ShotTeamCode,ShotPlayerNumber,ShotPlayerName,WinTeamCode,VTeamCode,VNumber,VName,HTeamCode,HNumber,HName,HitterTeamCode,HitterPlayerNumber,HitterPlayerName,HitteeTeamCode,HitteePlayerNumber,HitteePlayerName,PenaltyTeamCode,PenaltyPlayerNumber,PenaltyPlayerName,PenaltyType,DrawnByTeamCode,DrawnByPlayerNumber,DrawnByPlayerName,GameDate,GoalNumber,GoalTime,Assist1Player,Assist2Player
47,2010,20001,49.0,1,EV,537,663.0,GOAL,"TOR #81 KESSEL(1), Wrist, Off. Zone, 14 ft.Assists: #42 BOZAK(1); #8 KOMISAREK(1)",15.0,C,40.0,C,52.0,L,26.0,D,75.0,D,31.0,G,42.0,C,81.0,C,32.0,R,8.0,D,36.0,D,35.0,G,TOR,81.0,KESSEL,Wrist,O,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,537.0,42 T.BOZAK(1),8 M.KOMISAREK(1)
48,2010,20001,50.0,1,EV,537,663.0,FAC,MTL won Neu. Zone - MTL #15 HALPERN vs TOR #42 BOZAK,15.0,C,40.0,C,52.0,L,26.0,D,75.0,D,31.0,G,42.0,C,81.0,C,32.0,R,8.0,D,36.0,D,35.0,G,,,,,N,,,,,,MTL,MTL,15.0,HALPERN,TOR,42.0,BOZAK,,,,,,,,,,,,,,2010-10-07,,,,
49,2010,20001,51.0,1,EV,554,646.0,HIT,"TOR #42 BOZAK HIT MTL #52 DARCHE, Neu. Zone",15.0,C,40.0,C,52.0,L,26.0,D,75.0,D,31.0,G,42.0,C,81.0,C,32.0,R,8.0,D,36.0,D,35.0,G,,,,,N,,,,,,,,,,,,,TOR,42.0,BOZAK,MTL,52.0,DARCHE,,,,,,,,,,,,
50,2010,20001,52.0,1,EV,572,628.0,HIT,"MTL #32 MOEN HIT TOR #36 GUNNARSSON, Neu. Zone",17.0,C,94.0,C,32.0,L,26.0,D,45.0,D,31.0,G,26.0,C,18.0,R,28.0,R,8.0,D,36.0,D,35.0,G,,,,,N,,,,,,,,,,,,,MTL,32.0,MOEN,TOR,36.0,GUNNARSSON,,,,,,,,,,,,
51,2010,20001,53.0,1,EV,591,609.0,HIT,"MTL #20 O'BYRNE HIT TOR #18 BROWN, Def. Zone",17.0,C,94.0,C,32.0,L,20.0,D,45.0,D,31.0,G,26.0,C,18.0,R,28.0,R,2.0,D,15.0,D,35.0,G,,,,,D,,,,,,,,,,,,,MTL,20.0,OBYRNE,TOR,18.0,BROWN,,,,,,,,,,,,
52,2010,20001,54.0,1,EV,602,598.0,BLOCK,"TOR #2 SCHENN BLOCKED BY  MTL #45 PICARD, Wrist, Def. Zone",17.0,C,94.0,C,32.0,L,20.0,D,45.0,D,31.0,G,26.0,C,18.0,R,28.0,R,2.0,D,15.0,D,35.0,G,MTL,45.0,PICARD,Wrist,D,,,TOR,2.0,SCHENN,,,,,,,,,,,,,,,,,,,,,,,,,
53,2010,20001,55.0,1,EV,605,595.0,HIT,"TOR #18 BROWN HIT MTL #45 PICARD, Off. Zone",17.0,C,94.0,C,32.0,L,20.0,D,45.0,D,31.0,G,26.0,C,18.0,R,28.0,R,2.0,D,15.0,D,35.0,G,,,,,O,,,,,,,,,,,,,TOR,18.0,BROWN,MTL,45.0,PICARD,,,,,,,,,,,,
54,2010,20001,56.0,1,EV,621,579.0,TAKE,"MTL&nbsp;TAKEAWAY - #81 ELLER, Neu. Zone",14.0,C,81.0,C,46.0,L,6.0,D,76.0,D,31.0,G,37.0,C,9.0,R,18.0,R,2.0,D,15.0,D,35.0,G,MTL,81.0,ELLER,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,2010,20001,57.0,1,EV,627,573.0,MISS,"MTL #81 ELLER, Wrist, Wide of Net, Off. Zone, 31 ft.",14.0,C,81.0,C,46.0,L,6.0,D,76.0,D,31.0,G,37.0,C,9.0,R,11.0,L,2.0,D,15.0,D,35.0,G,MTL,81.0,ELLER,Wrist,O,31.0,Wide of Net,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,2010,20001,58.0,1,EV,632,568.0,BLOCK,"MTL #6 SPACEK BLOCKED BY  TOR #9 ARMSTRONG, Slap, Def. Zone",14.0,C,81.0,C,46.0,L,6.0,D,76.0,D,31.0,G,37.0,C,9.0,R,11.0,L,2.0,D,15.0,D,35.0,G,TOR,9.0,ARMSTRONG,Slap,D,,,MTL,6.0,SPACEK,,,,,,,,,,,,,,,,,,,,,,,,,
